"Date     Sales"
"########     21199"
"########     10634"
"########       7966"
"########       1353"
"########       9497"
"########       8207"
"########       7581"
"########       7471"
"########       7878"
"########       5314"
"########       1605"
"########       9419"
"########       9610"
"########    6388.1"
"########     11799"
"######## 21437.1"
"######## 19803.6"
"########       2091"
"######## 18951.7"
"######## 23779.6"
"######## 21844.7"
"########     30774"
"######## 50480.9"
"######## 22024.3"
"########    2694.5"
"######## 71351.6"
"######## 49382.8"
"######## 26444.8"
"######## 11460.7"
"########        58.9"
"########    7891.7"
"########    1644.1"
"######## 12868.3"
"########    8871.2"
"########       9836"
"########    8065.6"
"########    8132.9"
"########    5688.7"
"########    1464.3"
"######## 10567.1"
"########    9085.1"
"########       9289"
"######## 11707.2"
"######## 22876.3"
"########    7916.1"
"########    2237.2"
"########   15889.3"
"########   31675.5"
"########   17075.4"
"########   23412.3"
"########   25152.7"
"########   16958.7"
"########    2244.1"
"########   41275.2"
"########   46658.8"
"########   43621.4"
"########   33322.5"
"########    31923"
"########   46333.1"
"########    6925.8"
"########    8151.2"
"########    7110.8"
"########    6902.1"
"########    4860.1"
"########    4571.4"
"########    4055.7"
"########     898.2"
"########    5045.7"
"########    4678.6"
"########    4115.9"
"########    4487.7"
"########    4155.6"
"########    2737.9"
"########    1183.3"
"########    6787.8"
"########    8028.4"
"########    8219.2"
"########    9993.6"
"########   14599.7"
"########   10646.4"
"########    2686.2"
"########   27317.7"
"########   30021.8"
"########   31605.1"
"########   51020.7"
"########    40783"
"########   33812.5"
"########    2742.3"
"########   13708.2"
"########   22555.1"
"########   17510.5"
"########   14385.2"
"########   10783.4"
"########    9082.2"
"########    2155.4"
"########   11129.2"
"########   11417.9"
"########    9016.7"
"########    9672.3"
"########   10282.1"
"########    6648.8"
"########    2394.6"
"########   11437.9"
"########   11221.5"
"########   12807.5"
"########   13519.7"
"########   15955.9"
"########   13321.1"
"########    3063.1"
"########   26437.2"
"########   25371.5"
"########   30711.1"
"########    37159"
"########   40921.4"
"########   22755.9"
"########    4650.7"
"########   60733.8"
"########    48357"
"########   46485.9"
"########   31337.2"
"########   20578.7"
"########   15753.7"
"########    3489.7"
"########   20776.7"
"########   16229.6"
"########   27200.9"
"########   14458.5"
"########   11863.4"
"########    8131.7"
"########    3696.9"
"########   15733.9"
"########   14364.2"
"########   12811.4"
"########   14544.8"
"########   14289.8"
"########    4233.9"
"########    3762.5"
"########    22880"
"########    28244"
"########   28708.5"
"########   27414.9"
"########   28589.9"
"########   22627.5"
"########    4520.2"
"########   46469.5"
"########   53220.4"
"########   61963.5"
"########   74489.5"
"########   61894.8"
"########   41949.6"
"########    5509.3"
"########   29805.5"
"########   19645.6"
"########   16913.9"
"########   17242.9"
"########   17157.3"
"########   13316.7"
"########    4665.9"
"########   18687.2"
"########   18009.4"
"########   15891.9"
"########   18174.5"
"########   15355.7"
"########   12372.8"
"########    4690.1"
"########   20394.4"
"########   26131.5"
"########   29386.3"
"########   24352.9"
"########   22620.7"
"########   19514.5"
"########    4267.9"
"########   45856.3"
"########   38732.7"
"########   46221.5"
"########    52938"
"########   46796.2"
"########   32950.5"
"########    5704.1"
"########   65825.8"
"########   52906.5"
"########   27341.2"
"########   21354.2"
"########   27308.5"
"########   16276.6"
"########    4596.7"
"########   19114.2"
"########   17267.6"
"########   18494.4"
"########   16697.4"
"########   15956.6"
"########   11533.7"
"########    4464.5"
"########   20011.6"
"########   18058.2"
"########    3450.4"
"########   22507.5"
"########   17092.3"
"########   19181.2"
"########    3990.5"
"########   28091.9"
"########   38496.3"
"########   10480.8"
"########   56298.2"
"########    37672"
"########   23633.9"
"########    3710.6"
"########   54925.2"
"########   53788.5"
"########   62899.9"
"########   65288.1"
"########   43929.1"
"########   17618.1"
"########    4575.7"
"########     9763"
"########   23866.7"
"########   19661.2"
"########   16321.7"
"########   16265.7"
"########   11666.3"
"########    4337.3"
"########   19466.9"
"########   16803.7"
"########   15478.6"
"########   15171.8"
"########   16305.5"
"########   15669.6"
"########    4950.5"
"########   24660.2"
"########    30134"
"########   38235.3"
"########   26995.4"
"########   15587.8"
"########    18783"
"########    4560.8"
"########   44122.7"
"########   55352.5"
"########   52274.7"
"########    52464"
"########   83179.2"
"########   66688.3"
"########     8009"
"########   28486.4"
"########    4553.2"
"########   20925.9"
"########   16314.9"
"########   14609.6"
"########   11806.5"
"########    3884.3"
"########    15505"
"########   12447.8"
"########   12378.3"
"########   12325.3"
"########   13019.9"
"########    9457.8"
"########     3286"
"########   16799.6"
"########   16927.7"
"########    22731"
"########    34661"
"########    4794.6"
"########   18943.4"
"########    5135.9"
"########   37484.9"
"########   38855.8"
"########   32734.4"
"########   64702.6"
"########   44417.7"
"########    24819"
"########    4430.9"
"########    39007"
"########   60539.6"
"########   19387.5"
"########   15339.9"
"########   12665.4"
"########   10206.1"
"########    2915.6"
"########   10795.5"
"########    8834.2"
"########    1511.9"
"########    5843.5"
"########    7115.8"
"########    9087.3"
"########    3011.4"
"########   19562.8"
"########    11561"
"########   13559.9"
"########   15849.2"
"########   18572.4"
"########    15520"
"########     3471"
"########   23779.9"
"########   26338.1"
"########   17845.1"
"########   55185.8"
"########   17711.5"
"########   33205.1"
"########    5263.2"
"########    70069"
"########   49909.2"
"########   42131.6"
"########   47685.7"
"########   21533.1"
"########   12805.3"
"########    3009.1"
"########   13171.4"
"########   11432.3"
"########    11453"
"########   10254.5"
"########   10355.9"
"########     5981"
"########    2147.2"
"########    9846.9"
"########    8396.9"
"########    8771.4"
"########    8858.3"
"########   10512.3"
"########   10536.2"
"########    2501.3"
"########   15369.9"
"########   29182.6"
"########   23092.5"
"########   27909.5"
"########   25513.2"
"########   17027.2"
"########    3383.4"
"########   44627.1"
"########    9750.2"
"########   55054.1"
"########   41494.1"
"########   44547.6"
"########   37483.2"
"########    4031.3"
"########   24158.2"
"########    8437.5"
"########   12322.3"
"########    8172.1"
"########    8868.9"
"########    6354.7"
"########    1979.6"
"########     7646"
"########    7001.5"
"########    5179.1"
"########     8923"
"########    9227.5"
"########    5859.8"
"########    2042.2"
"########    9074.6"
"########    12388"
"########   10572.1"
"########   12677.2"
"########   13925.6"
"########   11694.8"
"########    3036.7"
"########   25910.3"
"########   34422.5"
"########   27423.6"
"########   33439.4"
"########   53021.3"
"########    2788.1"
"########     4245"
"########   72701.6"
"########   60070.6"
"########   35566.2"
"########   22391.3"
"########   16129.8"
"########    9357.4"
"########    2844.1"
"########   12342.3"
"########   10500.7"
"########    8978.1"
"########    7616.3"
"########    8011.8"
"########    5471.6"
"########    2113.1"
"########   10295.7"
"########    9591.8"
"########    9680.1"
"########   10478.5"
"########   10993.5"
"########    9604.8"
"########    2693.6"
"########   15910.3"
"########   31827.7"
"########   25100.5"
"########   28831.4"
"########    32129"
"########   22354.1"
"########    4648.2"
"########   73733.6"
"########   65777.8"
"########   40431.9"
"########   46564.2"
"########   19516.4"
"########   12366.2"
"########    3036.7"
"########     8378"
"########   15222.8"
"########    11074"
"########   10256.1"
"########    9366.4"
"########    6810.4"
"########     2591"
"########   12175.7"
"########   12508.9"
"########   11208.1"
"########   11988.4"
"########   20321.9"
"########   12435.1"
"########    2953.8"
"########   26248.7"
"########   24450.2"
"########   22636.5"
"########    2167.8"
"########   40821.1"
"########   26656.1"
"########    5055.1"
"########    75407"
"########    58064"
"########   30192.8"
"########   50720.4"
"########   23632.1"
"########   12616.4"
"########    2762.7"
"########    7406.1"
"########    5257.1"
"########    4290.3"
"########    4654.4"
"########    3990.6"
"########    3408.7"
"########    1573.4"
"########    5079.6"
"########    4785.9"
"########    4712.8"
"########    6828.8"
"########    5920.6"
"########    3536.7"
"########    1558.2"
"########    8089.9"
"########    9150.6"
"########    6756.2"
"########   15371.2"
"########    4787.3"
"########   15528.8"
"########     3407"
"########   29316.4"
"########   25288.4"
"########   29927.4"
"########   33601.1"
"########   48489.9"
"########   40230.3"
"########     5035"
"########   61319.4"
"########   29912.8"
"########   16402.6"
"########   15126.4"
"########   11177.2"
"########    7933.8"
"########     2854"
"########   10437.2"
"########    9716.5"
"########    9119.2"
"########    9336.8"
"########    9110.9"
"########    6406.7"
"########    2199.9"
"########    11360"
"########   12447.4"
"########   12670.2"
"########    13216"
"########   24761.5"
"########   10843.4"
"########    4212.9"
"########   33563.4"
"########   35515.8"
"########   34907.9"
"########   37652.8"
"########    39348"
"########   27442.4"
"########    6399.5"
"########   74048.3"
"########   48082.2"
"########   54858.4"
"########   41381.3"
"########   19249.4"
"########    13361"
"########     4812"
"########   15710.8"
"########    14293"
"########    5355.9"
"########   15637.7"
"########   13038.6"
"########    9359.8"
"########    3939.8"
"########   15627.6"
"########   15100.5"
"########   14455.2"
"########   14240.6"
"########   17115.1"
"########   14856.8"
"########     4793"
"########   23135.1"
"########   25090.1"
"########   25626.9"
"########   38199.9"
"########   47246.4"
"########   21461.1"
"########    7670.9"
"########   56545.3"
"########   51273.2"
"########   53670.9"
"########   67121.7"
"########   63249.8"
"########   32458.2"
"########    6353.9"
"########   23003.8"
"########   19508.5"
"########    17317"
"########   15125.5"
"########   13859.1"
"########   13318.4"
"########    5610.9"
"########   17737.1"
"########   15961.9"
"########   15614.7"
"########   16725.7"
"########   17235.5"
"########   12056.1"
"########    6060.5"
"########   23048.2"
"########   22371.9"
"########   21738.7"
"########   43923.7"
"########   29724.8"
"########   25612.4"
"########    6632.6"
"########   45451.8"
"########   38933.9"
"########   47496.7"
"########   50059.2"
"########   55538.3"
"########   38635.1"
"########     8328"
"########   76956.8"
"########   31973.6"
"########    24699"
"########   18898.2"
"########   17726.7"
"########   13146.9"
"########    5987.1"
"########   16716.4"
"########   15604.3"
"########    15581"
"########   13851.7"
"########   13610.9"
"########   10305.7"
"########     3981"
"########    6425.8"
"########    20999"
"########   17492.2"
"########    3217.1"
"########   19665.1"
"########   15133.7"
"########     5708"
"########   28430.8"
"########   42350.5"
"########   24144.2"
"########   32660.3"
"########   51345.3"
"########   11040.6"
"########    7555.9"
"########   76855.4"
"########   60822.8"
"########   59058.5"
"########    66909"
"########   37946.9"
"########   24087.9"
"########    6508.2"
"########    20851"
